WKT,Name
"POINT (-89.1467832 14.8497254)",Copán
"POINT (-89.1836929 14.4345368)",Ocotepeque
"POINT (-89.3894291 14.8210914)",Jocotan
"POINT (-89.37366139999999 14.8198091)",Camotán
"POINT (-89.5450458 14.7924897)",Chiquimula
"POINT (-90.27726439999999 14.2525156)",Los Esclavos
"POINT (-89.5403279 14.6699913)",San Jacinto
"POINT (-89.4387562 14.6318765)",Quezaltepeque
"POINT (-89.5450458 14.7924897)",San Esteban
"POINT (-89.4245627 14.771801)",San Juan Ermita
"POINT (-89.5863038 14.7211027)",San Jose La Arada
"POINT (-89.5356094 14.9676218)",Zacapa
"POINT (-89.34005859999999 14.5596188)",Esquipulas
"POINT (-88.9377949 14.4976052)",Sensenti
"POINT (-89.4954794 14.1257455)",Texistepeque
"POINT (-89.0119581 14.1547521)",Dulce Nombre de María
"POINT (-89.10268579999999 14.1696312)",Tejutla
"POINT (-89.45058019999999 14.326195)",Metapan
"POINT (-89.25622390000001 14.3663926)",Citalá
